title,price(tk),special_price(tk),emi,reviews,product_id,ram,storage,generation,graphics_memory,processor_type,display_size(inch)
Gigabyte AORUS 5 SE4 Intel Core i7 12700H 15.6 Inch FHD Display Matte Black Gaming Laptop,"250,640","232,000","Monthly EMI Tk 20,887", 1 reviews ,33.02.018.79,16GB,512GB SSD,12th (Intel),8GB,Core i7,15.6
Apple MacBook Pro (Late 2021) Apple M1 Pro 512GB SSD 14.2 Inch Liquid Retina XDR Display Silver Laptop #MKGR3LL/A / MKGR3X/A,"244,130","226,000","Monthly EMI Tk 20,344", 1 reviews ,33.03.005.230,16GB,512GB SSD,Not Applicable,Shared,Apple M1,14.2
Apple MacBook Pro Late 2021 Apple M1 Pro 512GB SSD 14.2 Inch Liquid Retina XDR Display Space Gray Laptop #MKGP3LL/A / MKGP3ZP/A / MKGP3PA/A / MKGP3X/A,"244,130","226,000","Monthly EMI Tk 20,344", 1 reviews ,33.03.005.226,16GB,512GB SSD,Not Applicable,Shared,Apple M1,14.2
Asus ROG Strix G17 G713RM AMD Ryzen 7 6800H 17.3 Inch FHD WV Display Eclipse Gray Gaming Laptop #KH157W-G713RM,"249,550","232,000","Monthly EMI Tk 20,796", 1 reviews ,33.02.006.1613,16GB,512GB SSD,Not Applicable,6GB,Ryzen 7,17.3
Gigabyte AORUS 15P XD Intel Core i7 11800H 15.6 Inch FHD Display Black Gaming Laptop,"241,960","224,000","Monthly EMI Tk 20,163", 1 reviews ,33.02.018.75,16GB,1TB SSD,11th (Intel),8GB,Core i7,15.6
MSI Creator Z16 A11UET-270BD Intel Core i7 11800H 16 Inch QHD+ Touch Display Lunar Gray Laptop #LG71180H16GXXDX10EMH,"242,500","223,500","Monthly EMI Tk 20,208", 1 reviews ,33.03.033.1200,16GB,512GB SSD,11th (Intel),6GB,Core i7,16
Gigabyte AERO 5 KE4 Intel Core i7 12700H 15.6 Inch 4K UHD OLED Display Matte Black Gaming Laptop,"240,870","224,000","Monthly EMI Tk 20,073", 1 reviews ,33.02.018.77,16GB,1TB SSD,12th (Intel),6GB,Core i7,15.6
Microsoft Surface Laptop Studio Intel Core i7 11370H 14.4 Inch Pixelsense Flow Multi Touch Display Platinum Surface Laptop #A1Y-00001,"236,530","219,000","Monthly EMI Tk 19,711", 1 reviews ,33.03.191.242,16GB,512GB SSD,11th (Intel),4GB,Core i7,14.4
"Apple MacBook Pro (Late 2021) Apple M1 Max 16.2 Inch Liquid Retina XDR Display Space Gray Laptop #MK1A3LL/A, MK1A3ZP/A","464,380","430,000","Monthly EMI Tk 38,698", 3 reviews ,33.03.005.214,32GB,1TB SSD,Not Applicable,Shared,Apple M1,16.2
Asus ZenBook 17 Fold OLED UX9702AA Intel Core i7 1250U 17.3 Inch 2.5K FOLED Touch Display Tech Black Laptop #MD022W-UX9702AA,"431,830","399,990","Monthly EMI Tk 35,986", 13 reviews ,33.03.006.1637,16GB,1TB SSD,12th (Intel),Shared,Core i7,17.3
